satPRN,GPS time,Sat.X,Sat.Y,Sat.Z,pseudorange,cn0,Pos.X,Pos.Y,Pos.Z,Lat,Lon,Alt
G03,3181.338578808005,23159163.38959875,-12081946.387221891,4281160.866393852,24111751.179365493,30.8,32.168814998407896,34.81354156055176,62.67264930624515,4436899.2279292485,3085280.7342926003,3376325.291502343
G03,3182.338580376003,23158816.010245785,-12081453.020017134,4284333.389688044,24111281.111773454,31.6,32.168840539049015,34.81354566551399,48.09214145410806,4436887.635779136,3085273.1450634073,3376319.926036008
G03,3183.3385818710085,23158468.32825668,-12080959.406724056,4287505.820647042,24110832.926754456,30.7,32.16886447014393,34.813598971679795,59.31374757643789,4436891.404057235,3085281.8893684335,3376328.14694215
G03,3184.3385833490174,23158120.34365271,-12080465.54727832,4290678.159380139,24110389.83719904,30.8,32.16886586777531,34.81365606050134,86.97972762119025,4436907.489288712,3085299.6331151924,3376343.0079541476
G03,3185.3385848540347,23157772.05645919,-12079971.441621631,4293850.405958573,24109938.65074259,29.8,32.16410688624417,34.82089662754029,-1445.758837656118,4435683.030768432,3085279.844304057,3375080.3352231192
G03,3186.33858648804,23157423.466681145,-12079477.089667017,4297022.560637453,24109448.79460363,31.3,32.16405796300104,34.82081822707864,-1463.9483715714887,4435676.98204267,3085266.6310649808,3375066.060675293
G02,3187.3422932940302,14613060.336205434,-4998376.955335419,22072928.75867802,22769547.176282912,47.1,32.168832109237556,34.813592425443346,40.44310819823295,4436880.210321143,3085273.3535298025,3376315.0620900993
G03,3188.3385974389967,23156725.3769849,-12078487.643106058,4303366.617165248,24106165.793185867,26.1,32.1670969415614,34.808427577727805,-2882.2033142084256,4435211.091764344,3083519.6079548188,3374596.197579265
G28,3189.339186172001,5179170.954239772,25805208.71788568,-3594404.5920204925,23776608.8514989,31.5,32.16887118724693,34.813559201165106,77.3531177137047,4436905.756930522,3085287.300964255,3376338.3819145304
G28,3190.3391878290568,5178943.592421386,25805688.98369317,-3591271.0106439767,23776112.074167315,37.6,32.168833490049025,34.813633838851494,53.71198247093707,4436887.135125802,3085282.9265199634,3376322.2564601265
G03,3191.338602032978,23155675.978537586,-12077001.631444806,4312881.970398838,24104788.571321268,22.8,32.16891618682292,34.8057157788301,-2284.429237741977,4435684.3568099225,3083537.2337913755,3375085.152590271
G28,3192.3391909489874,5178488.831029758,25806648.379988447,-3585003.619405017,23775176.733430523,35.3,32.168849995683,34.813672301538034,57.94487526547164,4436887.205649323,3085287.3942659404,3376326.059456134
G03,3193.338605065015,23154974.86803885,-12076009.724812357,4319225.075643776,24103879.602226067,25.2,32.16892251849785,34.805800425440715,-2273.6758693074808,4435686.9684864255,3083548.7692973493,3375091.47198514
